,n_commits
2013-08-26,0
2013-08-27,0
2013-08-28,0
2013-08-29,3
2013-08-30,0
2013-08-31,0
2013-09-01,2
2013-09-02,0
2013-09-03,0
2013-09-04,1
2013-09-05,6
2013-09-06,7
2013-09-07,0
2013-09-08,0
2013-09-09,0
2013-09-10,6
2013-09-11,6
2013-09-12,0
2013-09-13,0
2013-09-14,1
2013-09-15,1
2013-09-16,0
2013-09-17,0
2013-09-18,4
2013-09-19,16
2013-09-20,0
2013-09-21,0
2013-09-22,0
2013-09-23,0
2013-09-24,2
2013-09-25,0
2013-09-26,0
2013-09-27,0
2013-09-28,0
2013-09-29,0
2013-09-30,0
2013-10-01,1
2013-10-02,2
2013-10-03,2
2013-10-04,2
2013-10-05,0
2013-10-06,0
2013-10-07,0
2013-10-08,0
2013-10-09,4
2013-10-10,0
2013-10-11,0
2013-10-12,1
2013-10-13,1
2013-10-14,2
2013-10-15,1
2013-10-16,3
2013-10-17,0
2013-10-18,0
2013-10-19,0
2013-10-20,1
2013-10-21,0
2013-10-22,0
2013-10-23,0
2013-10-24,2
2013-10-25,11
2013-10-26,1
2013-10-27,0
2013-10-28,1
2013-10-29,1
2013-10-30,2
2013-10-31,2
2013-11-01,0
2013-11-02,1
2013-11-03,0
2013-11-04,4
2013-11-05,2
2013-11-06,2
2013-11-07,0
2013-11-08,2
2013-11-09,1
2013-11-10,0
2013-11-11,1
2013-11-12,3
2013-11-13,7
2013-11-14,3
2013-11-15,3
2013-11-16,8
2013-11-17,0
2013-11-18,0
2013-11-19,2
2013-11-20,1
2013-11-21,2
2013-11-22,2
2013-11-23,2
2013-11-24,6
2013-11-25,2
2013-11-26,0
2013-11-27,0
2013-11-28,0
2013-11-29,3
2013-11-30,2
2013-12-01,12
2013-12-02,1
2013-12-03,57
2013-12-04,0
2013-12-05,2
2013-12-06,1
2013-12-07,0
2013-12-08,2
2013-12-09,4
2013-12-10,1
2013-12-11,1
2013-12-12,0
2013-12-13,1
2013-12-14,0
2013-12-15,0
2013-12-16,0
2013-12-17,0
2013-12-18,1
2013-12-19,3
2013-12-20,0
2013-12-21,2
2013-12-22,0
2013-12-23,0
2013-12-24,0
2013-12-25,0
2013-12-26,0
2013-12-27,1
2013-12-28,0
2013-12-29,0
2013-12-30,1
2013-12-31,7
2014-01-01,1
2014-01-02,2
2014-01-03,3
2014-01-04,1
2014-01-05,0
2014-01-06,5
2014-01-07,5
2014-01-08,2
2014-01-09,0
2014-01-10,2
2014-01-11,0
2014-01-12,0
2014-01-13,0
2014-01-14,0
2014-01-15,0
2014-01-16,1
2014-01-17,1
2014-01-18,1
2014-01-19,0
2014-01-20,0
2014-01-21,0
2014-01-22,0
2014-01-23,0
2014-01-24,3
2014-01-25,0
2014-01-26,1
2014-01-27,0
2014-01-28,0
2014-01-29,4
2014-01-30,1
2014-01-31,0
2014-02-01,0
2014-02-02,0
2014-02-03,0
2014-02-04,3
2014-02-05,0
2014-02-06,1
2014-02-07,0
2014-02-08,0
2014-02-09,2
2014-02-10,0
2014-02-11,1
2014-02-12,4
2014-02-13,4
2014-02-14,1
2014-02-15,0
2014-02-16,0
2014-02-17,1
2014-02-18,2
2014-02-19,4
2014-02-20,2
2014-02-21,4
2014-02-22,2
2014-02-23,3
2014-02-24,0
2014-02-25,0
2014-02-26,2
2014-02-27,5
2014-02-28,1
2014-03-01,0
2014-03-02,3
2014-03-03,1
2014-03-04,1
2014-03-05,0
2014-03-06,3
2014-03-07,0
2014-03-08,26
2014-03-09,0
2014-03-10,5
2014-03-11,2
2014-03-12,1
2014-03-13,24
2014-03-14,4
2014-03-15,1
2014-03-16,2
2014-03-17,15
2014-03-18,2
2014-03-19,0
2014-03-20,1
2014-03-21,7
2014-03-22,32
2014-03-23,13
2014-03-24,5
2014-03-25,45
2014-03-26,5
2014-03-27,1
2014-03-28,11
2014-03-29,0
2014-03-30,1
2014-03-31,1
2014-04-01,0
2014-04-02,0
2014-04-03,0
2014-04-04,1
2014-04-05,2
2014-04-06,0
2014-04-07,0
2014-04-08,0
2014-04-09,0
2014-04-10,0
2014-04-11,0
2014-04-12,0
2014-04-13,0
2014-04-14,0
2014-04-15,0
2014-04-16,0
2014-04-17,0
2014-04-18,5
2014-04-19,10
2014-04-20,0
2014-04-21,0
2014-04-22,2
2014-04-23,1
2014-04-24,0
2014-04-25,1
2014-04-26,0
2014-04-27,0
2014-04-28,0
2014-04-29,1
2014-04-30,0
2014-05-01,0
2014-05-02,0
2014-05-03,0
2014-05-04,0
2014-05-05,0
2014-05-06,4
2014-05-07,0
2014-05-08,0
2014-05-09,0
2014-05-10,0
2014-05-11,0
2014-05-12,0
2014-05-13,0
2014-05-14,0
2014-05-15,1
2014-05-16,1
2014-05-17,0
2014-05-18,0
2014-05-19,0
2014-05-20,0
2014-05-21,0
2014-05-22,0
2014-05-23,0
2014-05-24,10
2014-05-25,4
2014-05-26,2
2014-05-27,1
2014-05-28,6
2014-05-29,4
2014-05-30,0
2014-05-31,0
2014-06-01,0
2014-06-02,2
2014-06-03,0
2014-06-04,4
2014-06-05,1
2014-06-06,1
2014-06-07,2
2014-06-08,10
2014-06-09,2
2014-06-10,2
2014-06-11,0
2014-06-12,0
2014-06-13,1
2014-06-14,0
2014-06-15,0
2014-06-16,0
2014-06-17,0
2014-06-18,0
2014-06-19,0
2014-06-20,1
2014-06-21,0
2014-06-22,0
2014-06-23,0
2014-06-24,0
2014-06-25,0
2014-06-26,0
2014-06-27,0
2014-06-28,12
2014-06-29,0
2014-06-30,0
2014-07-01,3
2014-07-02,0
2014-07-03,2
2014-07-04,0
2014-07-05,0
2014-07-06,0
2014-07-07,1
2014-07-08,0
2014-07-09,1
2014-07-10,0
2014-07-11,1
2014-07-12,0
2014-07-13,0
2014-07-14,1
2014-07-15,28
2014-07-16,6
2014-07-17,1
2014-07-18,0
2014-07-19,0
2014-07-20,1
2014-07-21,2
2014-07-22,1
2014-07-23,2
2014-07-24,0
2014-07-25,0
2014-07-26,0
2014-07-27,0
2014-07-28,0
2014-07-29,2
2014-07-30,0
2014-07-31,3
2014-08-01,5
2014-08-02,2
2014-08-03,0
2014-08-04,1
2014-08-05,0
2014-08-06,2
2014-08-07,0
2014-08-08,0
2014-08-09,4
2014-08-10,1
2014-08-11,0
2014-08-12,0
2014-08-13,1
2014-08-14,0
2014-08-15,0
2014-08-16,0
2014-08-17,0
2014-08-18,0
2014-08-19,1
2014-08-20,2
2014-08-21,1
2014-08-22,4
2014-08-23,1
2014-08-24,0
2014-08-25,1
2014-08-26,3
2014-08-27,3
2014-08-28,5
2014-08-29,1
2014-08-30,1
2014-08-31,39
2014-09-01,15
2014-09-02,0
2014-09-03,8
2014-09-04,2
2014-09-05,2
2014-09-06,0
2014-09-07,1
2014-09-08,1
2014-09-09,0
2014-09-10,0
2014-09-11,0
2014-09-12,0
2014-09-13,1
2014-09-14,0
2014-09-15,1
2014-09-16,3
2014-09-17,1
2014-09-18,1
2014-09-19,0
2014-09-20,0
2014-09-21,0
2014-09-22,0
2014-09-23,0
2014-09-24,0
2014-09-25,0
2014-09-26,0
2014-09-27,0
2014-09-28,0
2014-09-29,0
2014-09-30,0
2014-10-01,0
2014-10-02,0
2014-10-03,0
2014-10-04,0
2014-10-05,0
2014-10-06,0
2014-10-07,0
2014-10-08,0
2014-10-09,0
2014-10-10,0
2014-10-11,0
2014-10-12,0
2014-10-13,0
2014-10-14,3
2014-10-15,0
2014-10-16,0
2014-10-17,0
2014-10-18,1
2014-10-19,0
2014-10-20,0
2014-10-21,1
2014-10-22,6
2014-10-23,0
2014-10-24,0
2014-10-25,0
2014-10-26,0
2014-10-27,0
2014-10-28,1
2014-10-29,0
2014-10-30,0
2014-10-31,0
2014-11-01,0
2014-11-02,1
2014-11-03,1
2014-11-04,0
2014-11-05,0
2014-11-06,24
2014-11-07,4
2014-11-08,3
2014-11-09,0
2014-11-10,0
2014-11-11,1
2014-11-12,0
2014-11-13,2
2014-11-14,0
2014-11-15,1
2014-11-16,2
2014-11-17,0
2014-11-18,0
2014-11-19,3
2014-11-20,0
2014-11-21,1
2014-11-22,0
2014-11-23,0
2014-11-24,2
2014-11-25,0
2014-11-26,1
2014-11-27,0
2014-11-28,8
2014-11-29,0
2014-11-30,0
2014-12-01,3
2014-12-02,1
2014-12-03,0
2014-12-04,1
2014-12-05,0
2014-12-06,0
2014-12-07,0
2014-12-08,1
2014-12-09,0
2014-12-10,1
2014-12-11,2
2014-12-12,2
2014-12-13,6
2014-12-14,2
2014-12-15,16
2014-12-16,2
2014-12-17,0
2014-12-18,1
2014-12-19,0
2014-12-20,14
2014-12-21,1
2014-12-22,0
2014-12-23,0
2014-12-24,0
2014-12-25,0
2014-12-26,0
2014-12-27,1
2014-12-28,0
2014-12-29,0
2014-12-30,1
2014-12-31,0
2015-01-01,0
2015-01-02,0
2015-01-03,1
2015-01-04,0
2015-01-05,0
2015-01-06,0
2015-01-07,1
2015-01-08,2
2015-01-09,2
2015-01-10,1
2015-01-11,1
2015-01-12,2
2015-01-13,1
2015-01-14,1
2015-01-15,1
2015-01-16,0
2015-01-17,0
2015-01-18,0
2015-01-19,0
2015-01-20,0
2015-01-21,2
2015-01-22,0
2015-01-23,0
2015-01-24,0
2015-01-25,1
2015-01-26,0
2015-01-27,0
2015-01-28,2
2015-01-29,0
2015-01-30,0
2015-01-31,4
2015-02-01,2
2015-02-02,1
2015-02-03,0
2015-02-04,4
2015-02-05,1
2015-02-06,0
2015-02-07,1
2015-02-08,0
2015-02-09,4
2015-02-10,51
2015-02-11,2
2015-02-12,1
2015-02-13,5
2015-02-14,1
2015-02-15,6
2015-02-16,6
2015-02-17,7
2015-02-18,11
2015-02-19,7
2015-02-20,4
2015-02-21,3
2015-02-22,41
2015-02-23,7
2015-02-24,2
2015-02-25,1
2015-02-26,0
2015-02-27,0
2015-02-28,0
2015-03-01,0
2015-03-02,0
2015-03-03,0
2015-03-04,0
2015-03-05,0
2015-03-06,0
2015-03-07,0
2015-03-08,0
2015-03-09,0
2015-03-10,0
2015-03-11,1
2015-03-12,0
2015-03-13,0
2015-03-14,0
2015-03-15,0
2015-03-16,2
2015-03-17,0
2015-03-18,0
2015-03-19,0
2015-03-20,0
2015-03-21,2
2015-03-22,0
2015-03-23,0
2015-03-24,0
2015-03-25,0
2015-03-26,0
2015-03-27,1
2015-03-28,0
2015-03-29,0
2015-03-30,2
2015-03-31,0
2015-04-01,0
2015-04-02,0
2015-04-03,0
2015-04-04,0
2015-04-05,0
2015-04-06,0
2015-04-07,0
2015-04-08,0
2015-04-09,0
2015-04-10,1
2015-04-11,0
2015-04-12,0
2015-04-13,0
2015-04-14,0
2015-04-15,0
2015-04-16,0
2015-04-17,0
2015-04-18,1
2015-04-19,0
2015-04-20,0
2015-04-21,1
2015-04-22,0
2015-04-23,2
2015-04-24,1
2015-04-25,1
2015-04-26,1
2015-04-27,0
2015-04-28,1
2015-04-29,2
2015-04-30,0
2015-05-01,5
2015-05-02,2
2015-05-03,0
2015-05-04,1
2015-05-05,2
2015-05-06,1
2015-05-07,0
2015-05-08,1
2015-05-09,3
2015-05-10,0
2015-05-11,0
2015-05-12,1
2015-05-13,1
2015-05-14,0
2015-05-15,0
2015-05-16,0
2015-05-17,0
2015-05-18,0
2015-05-19,0
2015-05-20,0
2015-05-21,2
2015-05-22,0
2015-05-23,0
2015-05-24,0
2015-05-25,1
2015-05-26,0
2015-05-27,0
2015-05-28,0
2015-05-29,0
2015-05-30,1
2015-05-31,1
2015-06-01,0
2015-06-02,2
2015-06-03,1
2015-06-04,1
2015-06-05,11
2015-06-06,3
2015-06-07,0
2015-06-08,2
2015-06-09,3
2015-06-10,17
2015-06-11,37
2015-06-12,2
2015-06-13,7
2015-06-14,2
2015-06-15,25
2015-06-16,2
2015-06-17,3
2015-06-18,0
2015-06-19,0
2015-06-20,0
2015-06-21,0
2015-06-22,0
2015-06-23,0
2015-06-24,0
2015-06-25,0
2015-06-26,3
2015-06-27,0
2015-06-28,2
2015-06-29,1
2015-06-30,1
2015-07-01,0
2015-07-02,1
2015-07-03,3
2015-07-04,0
2015-07-05,0
2015-07-06,4
2015-07-07,9
2015-07-08,2
2015-07-09,0
2015-07-10,3
2015-07-11,2
2015-07-12,1
2015-07-13,2
2015-07-14,1
2015-07-15,2
2015-07-16,1
2015-07-17,0
2015-07-18,2
2015-07-19,6
2015-07-20,3
2015-07-21,0
2015-07-22,4
2015-07-23,3
2015-07-24,0
2015-07-25,0
2015-07-26,0
2015-07-27,1
2015-07-28,0
2015-07-29,4
2015-07-30,2
2015-07-31,2
2015-08-01,2
2015-08-02,0
2015-08-03,2
2015-08-04,10
2015-08-05,3
2015-08-06,0
2015-08-07,2
2015-08-08,0
2015-08-09,4
2015-08-10,1
2015-08-11,1
2015-08-12,1
2015-08-13,16
2015-08-14,1
2015-08-15,2
2015-08-16,12
2015-08-17,4
2015-08-18,9
2015-08-19,0
2015-08-20,1
2015-08-21,2
2015-08-22,0
2015-08-23,0
2015-08-24,0
2015-08-25,3
2015-08-26,5
2015-08-27,2
2015-08-28,2
2015-08-29,1
2015-08-30,3
2015-08-31,25
2015-09-01,9
2015-09-02,4
2015-09-03,6
2015-09-04,3
2015-09-05,11
2015-09-06,1
2015-09-07,3
2015-09-08,0
2015-09-09,2
2015-09-10,1
2015-09-11,7
2015-09-12,0
2015-09-13,0
2015-09-14,3
2015-09-15,0
2015-09-16,3
2015-09-17,1
2015-09-18,2
2015-09-19,46
2015-09-20,1
2015-09-21,9
2015-09-22,3
2015-09-23,5
2015-09-24,3
2015-09-25,1
2015-09-26,12
2015-09-27,7
2015-09-28,8
2015-09-29,3
2015-09-30,1
2015-10-01,2
2015-10-02,2
2015-10-03,10
2015-10-04,3
2015-10-05,6
2015-10-06,0
2015-10-07,0
2015-10-08,1
2015-10-09,11
2015-10-10,5
2015-10-11,0
2015-10-12,1
2015-10-13,0
2015-10-14,3
2015-10-15,4
2015-10-16,2
2015-10-17,0
2015-10-18,0
2015-10-19,1
2015-10-20,12
2015-10-21,11
2015-10-22,1
2015-10-23,2
2015-10-24,0
2015-10-25,0
2015-10-26,0
2015-10-27,0
2015-10-28,0
2015-10-29,0
2015-10-30,1
2015-10-31,1
2015-11-01,1
2015-11-02,2
2015-11-03,0
2015-11-04,2
2015-11-05,0
2015-11-06,1
2015-11-07,1
2015-11-08,1
2015-11-09,0
2015-11-10,1
2015-11-11,0
2015-11-12,2
2015-11-13,0
2015-11-14,1
2015-11-15,3
2015-11-16,3
2015-11-17,2
2015-11-18,3
2015-11-19,3
2015-11-20,5
2015-11-21,3
2015-11-22,0
2015-11-23,1
2015-11-24,0
2015-11-25,0
2015-11-26,1
2015-11-27,13
2015-11-28,0
2015-11-29,3
2015-11-30,15
2015-12-01,5
2015-12-02,2
2015-12-03,1
2015-12-04,2
2015-12-05,2
2015-12-06,1
2015-12-07,1
2015-12-08,0
2015-12-09,0
2015-12-10,2
2015-12-11,5
2015-12-12,0
2015-12-13,6
2015-12-14,12
2015-12-15,25
2015-12-16,3
2015-12-17,2
2015-12-18,2
2015-12-19,0
2015-12-20,0
2015-12-21,0
2015-12-22,0
2015-12-23,0
2015-12-24,0
2015-12-25,2
2015-12-26,0
2015-12-27,0
2015-12-28,0
2015-12-29,0
2015-12-30,0
2015-12-31,0
2016-01-01,0
2016-01-02,0
2016-01-03,0
2016-01-04,3
2016-01-05,0
2016-01-06,0
2016-01-07,0
2016-01-08,1
2016-01-09,1
2016-01-10,0
2016-01-11,0
2016-01-12,0
2016-01-13,8
2016-01-14,1
2016-01-15,4
2016-01-16,0
2016-01-17,0
2016-01-18,7
2016-01-19,0
2016-01-20,0
2016-01-21,0
2016-01-22,0
2016-01-23,0
2016-01-24,0
2016-01-25,0
2016-01-26,0
2016-01-27,0
2016-01-28,0
2016-01-29,1
2016-01-30,0
2016-01-31,0
2016-02-01,0
2016-02-02,0
2016-02-03,0
2016-02-04,0
2016-02-05,0
2016-02-06,0
2016-02-07,2
2016-02-08,0
2016-02-09,2
2016-02-10,3
2016-02-11,4
2016-02-12,3
2016-02-13,0
2016-02-14,2
2016-02-15,1
2016-02-16,0
2016-02-17,0
2016-02-18,1
2016-02-19,1
2016-02-20,2
2016-02-21,2
2016-02-22,0
2016-02-23,0
2016-02-24,0
2016-02-25,0
2016-02-26,0
2016-02-27,0
2016-02-28,0
2016-02-29,0
2016-03-01,0
2016-03-02,0
2016-03-03,0
2016-03-04,0
2016-03-05,0
2016-03-06,0
2016-03-07,3
2016-03-08,1
2016-03-09,0
2016-03-10,0
2016-03-11,3
2016-03-12,0
2016-03-13,0
2016-03-14,0
2016-03-15,0
2016-03-16,0
2016-03-17,0
2016-03-18,0
2016-03-19,1
2016-03-20,0
2016-03-21,0
2016-03-22,0
2016-03-23,0
2016-03-24,6
2016-03-25,1
2016-03-26,2
2016-03-27,0
2016-03-28,0
2016-03-29,0
2016-03-30,10
2016-03-31,2
2016-04-01,0
2016-04-02,0
2016-04-03,0
2016-04-04,2
2016-04-05,1
2016-04-06,1
2016-04-07,0
2016-04-08,0
2016-04-09,0
2016-04-10,0
2016-04-11,0
2016-04-12,0
2016-04-13,0
2016-04-14,0
2016-04-15,0
2016-04-16,1
2016-04-17,1
2016-04-18,0
2016-04-19,0
2016-04-20,4
2016-04-21,0
2016-04-22,0
2016-04-23,0
2016-04-24,0
2016-04-25,0
2016-04-26,1
2016-04-27,0
2016-04-28,0
2016-04-29,0
2016-04-30,0
2016-05-01,1
2016-05-02,0
2016-05-03,0
2016-05-04,0
2016-05-05,0
2016-05-06,0
2016-05-07,0
2016-05-08,0
2016-05-09,0
2016-05-10,2
2016-05-11,0
2016-05-12,18
2016-05-13,0
2016-05-14,4
2016-05-15,0
2016-05-16,1
2016-05-17,0
2016-05-18,3
2016-05-19,5
2016-05-20,3
2016-05-21,1
2016-05-22,4
2016-05-23,4
2016-05-24,0
2016-05-25,0
2016-05-26,2
2016-05-27,1
2016-05-28,0
2016-05-29,1
2016-05-30,2
2016-05-31,2
2016-06-01,1
2016-06-02,0
2016-06-03,0
2016-06-04,0
2016-06-05,1
2016-06-06,1
2016-06-07,0
2016-06-08,1
2016-06-09,1
2016-06-10,0
2016-06-11,0
2016-06-12,0
2016-06-13,0
2016-06-14,2
2016-06-15,4
2016-06-16,1
2016-06-17,2
2016-06-18,1
2016-06-19,0
2016-06-20,4
2016-06-21,0
2016-06-22,0
2016-06-23,0
2016-06-24,0
2016-06-25,0
2016-06-26,0
2016-06-27,0
2016-06-28,0
2016-06-29,0
2016-06-30,0
2016-07-01,1
2016-07-02,1
2016-07-03,2
2016-07-04,2
2016-07-05,1
2016-07-06,0
2016-07-07,0
2016-07-08,0
2016-07-09,0
2016-07-10,0
2016-07-11,0
2016-07-12,0
2016-07-13,0
2016-07-14,0
2016-07-15,2
2016-07-16,0
2016-07-17,0
2016-07-18,4
2016-07-19,1
2016-07-20,0
2016-07-21,0
2016-07-22,1
2016-07-23,0
2016-07-24,0
2016-07-25,0
2016-07-26,0
2016-07-27,0
2016-07-28,0
2016-07-29,0
2016-07-30,0
2016-07-31,0
2016-08-01,3
2016-08-02,0
2016-08-03,0
2016-08-04,0
2016-08-05,0
2016-08-06,0
2016-08-07,2
2016-08-08,0
2016-08-09,1
2016-08-10,0
2016-08-11,4
2016-08-12,0
2016-08-13,3
2016-08-14,0
2016-08-15,10
2016-08-16,7
2016-08-17,2
2016-08-18,1
2016-08-19,0
2016-08-20,3
2016-08-21,3
2016-08-22,3
2016-08-23,3
2016-08-24,9
2016-08-25,5
2016-08-26,2
2016-08-27,0
2016-08-28,0
2016-08-29,5
2016-08-30,9
2016-08-31,4
2016-09-01,0
2016-09-02,4
2016-09-03,7
2016-09-04,2
2016-09-05,4
2016-09-06,1
2016-09-07,5
2016-09-08,0
2016-09-09,4
2016-09-10,0
2016-09-11,0
2016-09-12,5
2016-09-13,0
2016-09-14,3
2016-09-15,2
2016-09-16,0
2016-09-17,3
2016-09-18,0
2016-09-19,0
2016-09-20,13
2016-09-21,12
2016-09-22,1
2016-09-23,1
2016-09-24,2
2016-09-25,0
2016-09-26,1
2016-09-27,1
2016-09-28,2
2016-09-29,11
2016-09-30,7
2016-10-01,0
2016-10-02,7
2016-10-03,20
2016-10-04,10
2016-10-05,0
2016-10-06,1
2016-10-07,1
2016-10-08,1
2016-10-09,1
2016-10-10,6
2016-10-11,1
2016-10-12,0
2016-10-13,4
2016-10-14,0
2016-10-15,1
2016-10-16,0
2016-10-17,2
2016-10-18,1
2016-10-19,0
2016-10-20,0
2016-10-21,0
2016-10-22,0
2016-10-23,0
2016-10-24,0
2016-10-25,6
2016-10-26,2
2016-10-27,0
2016-10-28,0
2016-10-29,0
2016-10-30,0
2016-10-31,0
2016-11-01,0
2016-11-02,12
2016-11-03,1
2016-11-04,0
2016-11-05,0
2016-11-06,0
2016-11-07,0
2016-11-08,0
2016-11-09,0
2016-11-10,1
2016-11-11,2
2016-11-12,0
2016-11-13,0
2016-11-14,0
2016-11-15,1
2016-11-16,1
2016-11-17,2
2016-11-18,0
2016-11-19,0
2016-11-20,0
2016-11-21,0
2016-11-22,0
2016-11-23,1
2016-11-24,0
2016-11-25,0
2016-11-26,0
2016-11-27,0
2016-11-28,1
2016-11-29,1
2016-11-30,0
2016-12-01,0
2016-12-02,0
2016-12-03,0
2016-12-04,0
2016-12-05,0
2016-12-06,0
2016-12-07,0
2016-12-08,2
2016-12-09,0
2016-12-10,0
2016-12-11,0
2016-12-12,0
2016-12-13,0
2016-12-14,3
2016-12-15,1
2016-12-16,0
2016-12-17,4
2016-12-18,3
2016-12-19,0
2016-12-20,0
2016-12-21,0
2016-12-22,0
2016-12-23,0
2016-12-24,0
2016-12-25,0
2016-12-26,0
2016-12-27,0
2016-12-28,0
2016-12-29,0
2016-12-30,18
2016-12-31,0
2017-01-01,0
2017-01-02,1
2017-01-03,0
2017-01-04,1
2017-01-05,1
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,1
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,0
2017-01-15,1
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,0
2017-02-02,0
2017-02-03,0
2017-02-04,0
2017-02-05,0
2017-02-06,0
2017-02-07,3
2017-02-08,0
2017-02-09,3
2017-02-10,0
2017-02-11,0
2017-02-12,0
2017-02-13,0
2017-02-14,0
2017-02-15,0
2017-02-16,0
2017-02-17,0
2017-02-18,1
2017-02-19,0
2017-02-20,2
2017-02-21,0
2017-02-22,0
2017-02-23,4
2017-02-24,0
2017-02-25,0
2017-02-26,1
2017-02-27,1
2017-02-28,0
2017-03-01,0
2017-03-02,0
2017-03-03,0
2017-03-04,0
2017-03-05,0
2017-03-06,0
2017-03-07,0
2017-03-08,0
2017-03-09,0
2017-03-10,0
2017-03-11,0
2017-03-12,0
2017-03-13,0
2017-03-14,0
2017-03-15,0
2017-03-16,5
2017-03-17,0
2017-03-18,0
2017-03-19,0
2017-03-20,0
2017-03-21,0
2017-03-22,0
2017-03-23,0
2017-03-24,0
2017-03-25,0
2017-03-26,0
2017-03-27,0
2017-03-28,0
2017-03-29,0
2017-03-30,12
2017-03-31,0
2017-04-01,0
2017-04-02,0
2017-04-03,0
2017-04-04,0
2017-04-05,0
2017-04-06,0
2017-04-07,0
2017-04-08,0
2017-04-09,0
2017-04-10,0
2017-04-11,0
2017-04-12,0
2017-04-13,0
2017-04-14,0
2017-04-15,0
2017-04-16,0
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,1
2017-04-22,0
2017-04-23,0
2017-04-24,0
2017-04-25,0
2017-04-26,0
2017-04-27,0
2017-04-28,0
2017-04-29,0
2017-04-30,0
2017-05-01,0
2017-05-02,0
2017-05-03,1
2017-05-04,0
2017-05-05,0
2017-05-06,0
2017-05-07,0
2017-05-08,0
2017-05-09,0
2017-05-10,0
2017-05-11,0
2017-05-12,0
2017-05-13,0
2017-05-14,0
2017-05-15,0
2017-05-16,0
2017-05-17,0
2017-05-18,0
2017-05-19,0
2017-05-20,0
2017-05-21,0
2017-05-22,0
2017-05-23,0
2017-05-24,0
2017-05-25,0
2017-05-26,0
2017-05-27,0
2017-05-28,0
2017-05-29,0
2017-05-30,0
2017-05-31,0
2017-06-01,0
2017-06-02,0
2017-06-03,0
2017-06-04,0
2017-06-05,0
2017-06-06,0
2017-06-07,1
2017-06-08,0
2017-06-09,0
2017-06-10,0
2017-06-11,0
2017-06-12,0
2017-06-13,0
2017-06-14,0
2017-06-15,0
2017-06-16,0
2017-06-17,0
2017-06-18,0
2017-06-19,0
2017-06-20,0
2017-06-21,0
2017-06-22,1
2017-06-23,0
2017-06-24,0
2017-06-25,0
2017-06-26,0
2017-06-27,0
2017-06-28,0
2017-06-29,0
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,0
2017-07-04,0
2017-07-05,0
2017-07-06,0
2017-07-07,0
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-15,0
2017-07-16,0
2017-07-17,0
2017-07-18,0
2017-07-19,0
2017-07-20,0
2017-07-21,0
2017-07-22,0
2017-07-23,0
2017-07-24,0
2017-07-25,0
2017-07-26,0
2017-07-27,0
2017-07-28,0
2017-07-29,0
2017-07-30,0
2017-07-31,0
2017-08-01,0
2017-08-02,0
2017-08-03,0
2017-08-04,0
2017-08-05,0
2017-08-06,0
2017-08-07,0
2017-08-08,0
2017-08-09,0
2017-08-10,0
2017-08-11,0
2017-08-12,0
2017-08-13,0
2017-08-14,0
2017-08-15,0
2017-08-16,0
2017-08-17,0
2017-08-18,0
2017-08-19,0
2017-08-20,0
2017-08-21,0
2017-08-22,0
2017-08-23,0
