Target,Competitor1,Competitor2,REV,Competitors_in_README
chainer/chainer,tensorflow/tensorflow,pytorch/pytorch,1,"pytorch/pytorch"
voldemort/voldemort,apache/cassandra,linkedin/venice,1,"linkedin/venice"
spring-attic/spring-security-oauth,spring-projects/spring-security,spring-projects/spring-authorization-server,1,"spring-projects/spring-security,spring-projects/spring-authorization-server"
koush/androidasync,androidx/androidx,koush/ion,1,"koush/ion"
stephanenicolas/robospice,square/retrofit,google/volley,1,"square/retrofit,google/volley"
square/keywhiz,hashicorp/vault,lyft/confidant,1,"hashicorp/vault"
torch/torch7,pytorch/pytorch,chainer/chainer,1,"pytorch/pytorch"
omab/django-social-auth,pennersr/django-allauth,omab/python-social-auth,1,"omab/python-social-auth"
midgetspy/sick-beard,sickchill/sickchill,Sonarr/Sonarr,1,"Sonarr/Sonarr"
fizyr/keras-retinanet,pytorch/vision,facebookresearch/detectron2,1,"pytorch/vision"
bizz84/swiftystorekit,RevenueCat/purchases-ios,apphud/ApphudSDK,1,"RevenueCat/purchases-ios,apphud/ApphudSDK"
johncoates/aerial,OrangeJedi/Aerial,graysky2/xscreensaver-aerial,1,"OrangeJedi/Aerial,graysky2/xscreensaver-aerial"
facebook/xctool,facebook/xcbuild,xcpretty/xcpretty,1,"facebook/xcbuild,xcpretty/xcpretty"
tekezo/karabiner,pqrs-org/karabiner-elements,hammerspoon/hammerspoon,1,"pqrs-org/karabiner-elements"
sass/libsass,sass/dart-sass,sass/sassc,1,"sass/dart-sass,sass/sassc"
amrayn/easyloggingpp,gabime/spdlog,google/glog,1,"gabime/spdlog"
cocos2d/cocos2d-x,defold/defold,cocos/cocos-engine,1,"cocos/cocos-engine"
overviewer/minecraft-overviewer,webbukkit/dynmap,BlueMap-Minecraft/BlueMap,1,"BlueMap-Minecraft/BlueMap"
tensorflow/tensor2tensor,huggingface/transformers,google/trax,1,"google/trax"
sass/node-sass,stylus/stylus,sass/dart-sass,1,"sass/dart-sass"
ripple/rippled,stellar/stellar-core,XRPLF/clio,1,"XRPLF/clio"
hill-a/stable-baselines,ray-project/ray,DLR-RM/stable-baselines3,1,"DLR-RM/stable-baselines3"
facebookresearch/pytext,facebookresearch/fairseq,pytorch/text,1,"pytorch/text"
orchest/orchest,apache/airflow,PrefectHQ/prefect,1,"apache/airflow"
allenai/allennlp,huggingface/transformers,flairNLP/flair,1,"huggingface/transformers,flairNLP/flair"
deepmind/dm-haiku,pytorch/pytorch,google/flax,1,"google/flax"
eleutherai/gpt-neo,huggingface/transformers,EleutherAI/gpt-neox,1,"huggingface/transformers,EleutherAI/gpt-neox"
railsware/upterm,Eugeny/terminus,vercel/hyper,1,"vercel/hyper"
palantir/tslint,eslint/eslint,typescript-eslint/typescript-eslint,1,"eslint/eslint"
microsoft/reactxp,flutter/flutter,necolas/react-native-web,1,"necolas/react-native-web"
alibaba/bizcharts,antvis/g2,recharts/recharts,1,"antvis/g2"
graphql/express-graphql,graphile/postgraphile,apollographql/apollo-server,1,"graphile/postgraphile,apollographql/apollo-server"
apollographql/apollo-tooling,dotansimha/graphql-code-generator,apollographql/rover,1,"dotansimha/graphql-code-generator,apollographql/rover"
alephjs/aleph.js,vercel/next.js,denoland/fresh,1,"denoland/fresh"
datorama/akita,ngrx/platform,ngneat/elf,1,"ngneat/elf"
componentjs/component,webpack/webpack,browserify/browserify,1,"webpack/webpack,browserify/browserify"
yuche/vue-strap,bootstrap-vue/bootstrap-vue,wxsms/uiv,1,"bootstrap-vue/bootstrap-vue,wxsms/uiv"
moscajs/mosca,eclipse/mosquitto,moscajs/aedes,1,"moscajs/aedes"
aheckmann/gm,lovell/sharp,moxystudio/node-cross-spawn,1,"moxystudio/node-cross-spawn"
exacttarget/fuelux,twbs/bootstrap,salesforce/lwc,1,"salesforce/lwc"
automattic/kue,OptimalBits/bull,agenda/agenda,1,"OptimalBits/bull"
phenomic/phenomic,vercel/next.js,gatsbyjs/gatsby,1,"vercel/next.js"
redux-form/redux-form,formium/formik,final-form/react-final-form,1,"formium/formik,final-form/react-final-form"
cnpm/cnpmjs.org,yarnpkg/yarn,cnpm/cnpmcore,1,"cnpm/cnpmcore"
adobe/brackets,microsoft/vscode,atom/atom,1,"microsoft/vscode"
ronggang/pt-plugin-plus,Jackett/Jackett,pt-plugins/PT-depiler,1,"pt-plugins/PT-depiler"
nteract/hydrogen,microsoft/vscode,nteract/nteract,1,"microsoft/vscode,nteract/nteract"
ssbc/patchwork,staltz/manyverse,fraction/oasis,1,"staltz/manyverse,fraction/oasis"
appium/appium-desktop,appium/appium,appium/appium-inspector,1,"appium/appium,appium/appium-inspector"
snowpackjs/snowpack,evanw/esbuild,parcel-bundler/parcel,1,"evanw/esbuild,parcel-bundler/parcel"
vuejs/vue-cli,vitejs/vite,vuejs/create-vue,1,"vitejs/vite,vuejs/create-vue"
facebook/create-react-app,vercel/next.js,insin/nwb,1,"vercel/next.js,insin/nwb"
olefredrik/foundationpress,twbs/bootstrap,Semantic-Org/Semantic-UI,1,"twbs/bootstrap,Semantic-Org/Semantic-UI"
rocketeers/rocketeer,deployphp/deployer,laravel/envoy,1,"deployphp/deployer"
chriskacerguis/codeigniter-restserver,laravel/framework,codeigniter4/CodeIgniter4,1,"codeigniter4/CodeIgniter4"
sds/scss-lint,stylelint/stylelint,kristerkari/stylelint-scss,1,"stylelint/stylelint,kristerkari/stylelint-scss"
eventmachine/eventmachine,puma/puma,celluloid/celluloid,1,"celluloid/celluloid"
thoughtbot/paperclip,rails/rails,carrierwaveuploader/carrierwave,1,"rails/rails"
kubernetes-retired/heapster,prometheus-operator/prometheus-operator,heptiolabs/eventrouter,1,"prometheus-operator/prometheus-operator,heptiolabs/eventrouter"
masterminds/glide,golang/go,pote/gpm,1,"golang/go,pote/gpm"
sirupsen/logrus,uber-go/zap,rs/zerolog,1,"uber-go/zap,rs/zerolog"
lib/pq,jackc/pgx,go-pg/pg,1,"jackc/pgx"
go-mgo/mgo,coreos/bbolt,lib/pq,1,"coreos/bbolt,lib/pq"
github/hub,cli/cli,profclems/glab,1,"cli/cli"
weaveworks/ignite,kubevirt/kubevirt,liquidmetal-dev/flintlock,1,"liquidmetal-dev/flintlock"
rails/webpacker,shakacode/shakapacker,rails/importmap-rails,1,"shakacode/shakapacker,rails/importmap-rails"
tfsec/tfsec,bridgecrewio/checkov,aquasecurity/trivy,1,"aquasecurity/trivy"
dethcrypto/typechain,NomicFoundation/hardhat,wagmi-dev/wagmi,1,"NomicFoundation/hardhat,wagmi-dev/wagmi"
withastro/snowpack,evanw/esbuild,parcel-bundler/parcel,1,"evanw/esbuild,parcel-bundler/parcel"
gfx-rs/gfx,gfx-rs/wgpu,vulkano-rs/vulkano,1,"gfx-rs/wgpu"
bytecodealliance/lucet,wasmerio/wasmer,bytecodealliance/wasmtime,1,"bytecodealliance/wasmtime"
racer-rust/racer,rust-lang/rust-analyzer,intellij-rust/intellij-rust,1,"rust-lang/rust-analyzer"
pistondevelopers/conrod,iced-rs/iced,emilk/egui,1,"emilk/egui"
rust-lang/rls,rust-lang/rust-analyzer,intellij-rust/intellij-rust,1,"rust-lang/rust-analyzer"
redox-os/orbtk,slint-ui/slint,iced-rs/iced,1,"slint-ui/slint,iced-rs/iced"
godot-rust/godot-rust,godot-rust/gdext,godotengine/godot-cpp,1,"godot-rust/gdext"
alpa-projects/alpa,openxla/xla,NVIDIA/Megatron-LM,1,"openxla/xla"
fredkschott/snowpack,evanw/esbuild,parcel-bundler/parcel,1,"evanw/esbuild,parcel-bundler/parcel"
dream-num/luckysheet,handsontable/handsontable,dream-num/univer,1,"dream-num/univer"
abumq/easyloggingpp,gabime/spdlog,google/glog,1,"gabime/spdlog"
thedevdojo/voyager,filamentphp/filament,thedevdojo/wave,1,"filamentphp/filament,thedevdojo/wave"
nagadomi/waifu2x,DeadSix27/waifu2x-converter-cpp,lltcggie/waifu2x-caffe,1,"DeadSix27/waifu2x-converter-cpp,lltcggie/waifu2x-caffe"
fastai/fastpages,quarto-dev/quarto-cli,executablebooks/jupyter-book,1,"quarto-dev/quarto-cli"
lagom/lagom,akka/akka,lightbend/kalix-jvm-sdk,1,"akka/akka,lightbend/kalix-jvm-sdk"
idris-lang/Idris-dev,agda/agda,idris-lang/Idris2,1,"idris-lang/Idris2"
ichord/At.js,yuku-t/jquery-textcomplete,zurb/tribute,1,"zurb/tribute"
bhauman/lein-figwheel,thheller/shadow-cljs,bhauman/figwheel-main,1,"bhauman/figwheel-main"
php/php-src,ruby/ruby,python/cpython,0,""
django/django,sinatra/sinatra,rails/rails,0,""
rails/rails,pallets/flask,django/django,0,""
stimulusjs/stimulus,fabiospampinato/cash,jquery/jquery,0,""
PaddlePaddle/PaddleOCR,faustomorales/keras-ocr,tesseract-ocr/tesseract,0,""
llvm/llvm-project,gcc-mirror/gcc,golang/go,0,""
seleniumhq/selenium,microlinkhq/metascraper,scrapy/scrapy,0,""
apache/thrift,apache/avro,protocolbuffers/protobuf,0,""
scala/scala,apache/groovy,jetbrains/kotlin,0,""
apache/commons-lang,apache/commons-io,google/guava,0,""
rust-lang/rust,python/cpython,JuliaLang/julia,0,""
libbitcoin/libbitcoin-system,bitcoinj/bitcoinj,bitcoin/bitcoin,0,""
Bash-it/bash-it,sorin-ionescu/prezto,ohmyzsh/ohmyzsh,0,""
python/cpython,ruby/ruby,nodejs/node,0,""
apache/tomcat,apache/struts,spring-projects/spring-framework,0,""
mlpack/mlpack,statsmodels/statsmodels,scikit-learn/scikit-learn,0,""
tarantool/tarantool,memcached/memcached,redis/redis,0,""
apache/solr,blevesearch/bleve,elastic/elasticsearch,0,""
websockets/ws,faye/faye,socketio/socket.io,0,""
balderdashy/sails,hapijs/hapi,expressjs/express,0,""
getpelican/pelican,middleman/middleman,jekyll/jekyll,0,""
scikit-image/scikit-image,davisking/dlib,opencv/opencv,0,""
golang/go,nim-lang/Nim,rust-lang/rust,0,""
ramda/ramda,jashkenas/underscore,lodash/lodash,0,""
rust-lang/rust,golang/go,swiftlang/swift,0,""
rust-lang/rust,JetBrains/kotlin,apple/swift,0,""
BabylonJS/Babylon.js,playcanvas/engine,mrdoob/three.js,0,""
highcharts/highcharts,plotly/plotly.js,d3/d3,0,""
urllib3/urllib3,twisted/treq,psf/requests,0,""
django/django,expressjs/express,pallets/flask,0,""
zurb/foundation-sites,primer/css,twbs/bootstrap,0,""
jetty/jetty.project,apache/httpcomponents-client,square/okhttp,0,""
reactor/reactor-core,Kotlin/kotlinx.coroutines,reactivex/rxjava,0,""
microsoft/TypeScript,sindresorhus/type-fest,definitelytyped/definitelytyped,0,""
date-fns/date-fns,moment/luxon,moment/moment,0,""
iterate-ch/cyberduck,aws/aws-cli,rclone/rclone,0,""
rollup/rollup,parcel-bundler/parcel,webpack/webpack,0,""
canonical/lxd,containerd/containerd,moby/moby,0,""
getsentry/sentry,elastic/kibana,grafana/grafana,0,""
AvaloniaUI/Avalonia,nwjs/nw.js,electron/electron,0,""
MonoGame/MonoGame,4ian/GDevelop,godotengine/godot,0,""
WordPress/WordPress,getgrav/grav,tryghost/ghost,0,""
highcharts/highcharts,d3/d3,chartjs/chart.js,0,""
highcharts/highcharts,plotly/plotly.js,apache/echarts,0,""
hashicorp/consul,apache/zookeeper,etcd-io/etcd,0,""
grafana/grafana,cacti/cacti,netdata/netdata,0,""
saltstack/salt,cfengine/core,ansible/ansible,0,""
apache/tomee,dropwizard/dropwizard,spring-projects/spring-boot,0,""
node-red/node-red,ioBroker/ioBroker,home-assistant/core,0,""
ossu/computer-science,exercism/exercism,freecodecamp/freecodecamp,0,""
NethermindEth/nethermind,hyperledger/besu,ethereum/go-ethereum,0,""
angular/angular,jquery/jquery,facebook/react,0,""
gitlabhq/gitlabhq,gitbucket/gitbucket,gogs/gogs,0,""
vercel/next.js,tanstack/router,remix-run/react-router,0,""
seleniumhq/selenium,DevExpress/testcafe,cypress-io/cypress,0,""
brave/brave-browser,adblockplus/adblockplus,gorhill/ublock,0,""
fffaraz/awesome-cpp,vinta/awesome-python,avelino/awesome-go,0,""
avelino/awesome-go,fffaraz/awesome-cpp,rust-unofficial/awesome-rust,0,""
lvgl/lvgl,Immediate-Mode-UI/Nuklear,ocornut/imgui,0,""
NLnetLabs/unbound,AdguardTeam/AdGuardHome,pi-hole/pi-hole,0,""
ceph/ceph,seaweedfs/seaweedfs,minio/minio,0,""
plantuml/plantuml,yuzutech/kroki,mermaid-js/mermaid,0,""
sphinx-doc/sphinx,hexojs/hexo,gohugoio/hugo,0,""
matteocrippa/awesome-swift,raywenderlich/swift-style-guide,vsouza/awesome-ios,0,""
flutter/flutter,NativeScript/NativeScript,ionic-team/ionic-framework,0,""
hashicorp/nomad,docker-archive/classicswarm,kubernetes/kubernetes,0,""
apache/openwhisk,aws/chalice,serverless/serverless,0,""
google/closure-compiler,rescript-lang/rescript-compiler,microsoft/typescript,0,""
twbs/bootstrap,mui/material-ui,ant-design/ant-design,0,""
ant-design/ant-design,twbs/bootstrap,mui/material-ui,0,""
metabase/metabase,getredash/redash,apache/superset,0,""
facebook/react-native,NativeScript/NativeScript,flutter/flutter,0,""
haproxy/haproxy,kong/kong,traefik/traefik,0,""
TryGhost/Ghost,decaporg/decap-cms,strapi/strapi,0,""
flutter/flutter,NativeScript/NativeScript,facebook/react-native,0,""
histoire-dev/histoire,tajo/ladle,storybookjs/storybook,0,""
huggingface/transformers,pytorch/vision,tensorflow/models,0,""
friendica/friendica,diaspora/diaspora,mastodon/mastodon,0,""
emberjs/ember.js,facebook/react,angular/angular,0,""
pytorch/pytorch,apache/mxnet,tensorflow/tensorflow,0,""
pulsar-edit/pulsar,neovim/neovim,microsoft/vscode,0,""
reduxjs/redux-toolkit,mobxjs/mobx,reduxjs/redux,0,""
vercel/next.js,gohugoio/hugo,gatsbyjs/gatsby,0,""
angular/angular,facebook/react,sveltejs/svelte,0,""
eslint/eslint,standard/standard,prettier/prettier,0,""
apolloauto/apollo,carla-simulator/carla,commaai/openpilot,0,""
gnome-terminator/terminator,alacritty/alacritty,eugeny/tabby,0,""
bregman-arie/devops-exercises,liuchong/awesome-roadmaps,kamranahmedse/developer-roadmap,0,""
mkdocs/mkdocs,docsifyjs/docsify,facebook/docusaurus,0,""
gatsbyjs/gatsby,gohugoio/hugo,vercel/next.js,0,""
mintty/mintty,alacritty/alacritty,microsoft/terminal,0,""
fastify/fastify,koajs/koa,nestjs/nest,0,""
ant-design/ant-design,youzan/vant,ElemeFE/element,0,""
elastic/elasticsearch,typesense/typesense,meilisearch/meilisearch,0,""
jonas/tig,dandavison/delta,jesseduffield/lazygit,0,""
seleniumhq/selenium,gocolly/colly,puppeteer/puppeteer,0,""
twbs/bootstrap,jgthms/bulma,tailwindlabs/tailwindcss,0,""
facebook/react,sveltejs/svelte,vuejs/core,0,""
nodejs/node,oven-sh/bun,denoland/deno,0,""
vercel/next.js,remix-run/remix,nuxt/nuxt,0,""